region,province
East China,Anhui
East China,Shanghai
East China,Shandong
East China,Jiangxi
East China,Jiangsu
East China,Zhejiang
East China,Fujian
North China,Tianjin
North China,Shanxi
North China,Beijing
North China,Hebei
North China,Inner Mongolia
Northeast China,Liaoning
Northeast China,Jilin
Northeast China,Heilongjiang
Northwest China,Xinjiang
Northwest China,Gansu
Northwest China,Ningxia
Northwest China,Qinghai
Northwest China,Shaanxi
South Central China,Hubei
South Central China,Guangxi
South Central China,Hainan
South Central China,Guangdong
South Central China,Henan
South Central China,Hunan
Southwest China,Guizhou
Southwest China,Sichuan
Southwest China,Tibet
Southwest China,Yunnan
Southwest China,Chongqing
